,number,value,datetime_start,datetime_complete,duration,params_Adadelta_eps,params_Adadelta_lr,params_Adadelta_rho,params_Adagrad_lr,params_Adagrad_lr_decay,params_Adagrad_weight_decay,params_Adam_beta1,params_Adam_beta2,params_Adam_eps,params_Adam_lr,params_Adam_weight_decay,params_Rprop_eta1,params_Rprop_eta2,params_Rprop_lr,params_Rprop_step_size1,params_Rprop_step_size2,params_ann_type,params_do_regularization,params_dropout_rate0,params_dropout_rate1,params_dropout_rate2,params_dropout_rate3,params_dropout_rate4,params_dropout_rate5,params_eps_batch_norm0,params_eps_batch_norm1,params_eps_batch_norm2,params_eps_batch_norm3,params_eps_batch_norm4,params_eps_batch_norm5,params_hidden_size_lstm_cell0,params_hidden_size_lstm_cell1,params_hidden_size_lstm_cell2,params_hidden_size_lstm_cell3,params_hidden_size_lstm_cell4,params_hidden_size_lstm_cell5,params_lin_act,params_loss_name,params_momentum__batch_norma0,params_momentum__batch_norma1,params_momentum__batch_norma2,params_momentum__batch_norma3,params_momentum__batch_norma4,params_momentum__batch_norma5,params_number_of_hidden_stacks,params_optimizer_name,params_out_lin0,params_out_lin1,params_out_lin2,params_out_lin3,params_out_lin4,params_out_lin5,params_use_default_optimizer_args,params_use_normalization_layer,state
0,0,-0.06872129440307617,2022-08-23 10:30:27.127512,2022-08-23 10:31:42.199067,0 days 00:01:15.071555,,,,0.016861847740663603,0.00630222843289885,0.0009940729471257024,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,HuberLoss,,,,,,,5,Adagrad,1024.0,1024.0,64.0,256.0,512.0,,False,,COMPLETE
1,1,,2022-08-23 10:31:42.200656,2022-08-23 10:32:40.283182,0 days 00:00:58.082526,8.818432444253488e-06,0.1438398485384229,0.0495511233092628,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,ELU,MSELoss,,,,,,,4,Adadelta,512.0,16.0,128.0,128.0,,,False,,PRUNED
2,2,-0.004691720008850098,2022-08-23 10:32:40.283753,2022-08-23 10:34:17.110507,0 days 00:01:36.826754,,,,,,,,,,,,0.5500837685849462,1.1443323586533358,0.03985259973604135,2.612561374336367e-05,2.3718161145993237,fnn,True,,,,,,,8.130342561595642e-05,6.246875466605771e-05,8.786999513000311e-05,,,,,,,,,,SiLU,MSELoss,0.0846560112598777,0.1897563143240153,0.11399996519118134,,,,3,Rprop,512.0,32.0,64.0,,,,False,True,COMPLETE
3,3,,2022-08-23 10:34:17.112428,2022-08-23 10:35:05.812376,0 days 00:00:48.699948,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,MSELoss,,,,,,,1,Rprop,256.0,,,,,,True,,PRUNED
4,4,,2022-08-23 10:35:05.812998,2022-08-23 10:35:45.260906,0 days 00:00:39.447908,,,,0.0602871128369871,0.0998645207421944,0.0002709316976510795,,,,,,,,,,,lstm,True,,,,,,,6.048577157004556e-05,4.922465942842254e-05,4.356723487021991e-05,3.589928854754393e-05,,,64.0,512.0,256.0,512.0,,,,MSELoss,0.07676221659414556,0.12331973879604455,0.17089647057628427,0.1817463407928,,,4,Adagrad,,,,,,,False,True,PRUNED
5,5,,2022-08-23 10:35:45.261417,2022-08-23 10:36:49.995846,0 days 00:01:04.734429,,,,,,,,,,,,,,,,,fnn,True,0.08,0.32,0.64,0.01,0.01,,,,,,,,,,,,,,SiLU,HuberLoss,,,,,,,5,Adadelta,64.0,256.0,128.0,64.0,16.0,,True,False,PRUNED
6,6,,2022-08-23 10:36:49.996379,2022-08-23 10:37:46.583194,0 days 00:00:56.586815,,,,,,,,,,,,,,,,,fnn,True,,,,,,,8.746104699586951e-05,9.170962685330166e-05,,,,,,,,,,,GELU,GaussianNLLLoss,0.1986617644106886,0.13026115889359302,,,,,2,Adagrad,16.0,16.0,,,,,True,True,PRUNED
7,7,,2022-08-23 10:37:46.583731,2022-08-23 10:40:27.436636,0 days 00:02:40.852905,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,64.0,1024.0,1024.0,,,,,HuberLoss,,,,,,,3,Adagrad,,,,,,,True,,PRUNED
8,8,,2022-08-23 10:40:27.437103,2022-08-23 10:42:10.508743,0 days 00:01:43.071640,,,,0.09179055900407834,0.03684246816624698,0.0005302480600738304,,,,,,,,,,,lstm,True,,,,,,,9.381914288359862e-06,8.841423316759723e-06,,,,,64.0,128.0,,,,,,GaussianNLLLoss,0.11293780803419841,0.06262575769431267,,,,,2,Adagrad,,,,,,,False,True,PRUNED
9,9,,2022-08-23 10:42:10.509445,2022-08-23 10:43:07.678261,0 days 00:00:57.168816,,,,,,,0.9106506382037556,0.9651130605992471,8.3894930327794e-08,0.08759385834989224,0.0008070210176383236,,,,,,lstm,True,0.08,0.64,0.32,0.16,0.08,0.16,,,,,,,64.0,32.0,64.0,1024.0,512.0,1024.0,,MSELoss,,,,,,,6,Adam,,,,,,,False,False,PRUNED
10,10,,2022-08-23 10:43:07.678898,2022-08-23 10:44:26.595631,0 days 00:01:18.916733,,,,,,,,,,,,0.5555264502525518,1.142505250238201,0.03732187590462624,2.460700899258353e-05,1.131140804657057,fnn,True,,,,,,,9.843807978908813e-05,6.993730922840379e-05,9.83442777500812e-05,,,,,,,,,,Softplus,MSELoss,0.05291071975449635,0.1997581977720539,0.07251316926625645,,,,3,Rprop,32.0,32.0,1024.0,,,,False,True,PRUNED
11,11,,2022-08-23 10:44:26.596178,2022-08-23 10:44:46.699257,0 days 00:00:20.103079,,,,,,,,,,,,0.45466202025088487,1.2472465165154194,0.08133758134808933,8.323236996112138e-05,12.634737810236128,fnn,False,,,,,,,,,,,,,,,,,,,Mish,HuberLoss,,,,,,,6,Rprop,1024.0,1024.0,64.0,256.0,512.0,64.0,False,,PRUNED
12,12,,2022-08-23 10:44:46.699920,2022-08-23 10:45:50.627847,0 days 00:01:03.927927,,,,,,,0.8558015404544156,0.9998518116698145,4.231891983994399e-09,0.002078361201140279,0.00016489774070629958,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,CELU,HuberLoss,,,,,,,5,Adam,128.0,32.0,64.0,32.0,256.0,,False,,PRUNED
13,13,,2022-08-23 10:45:50.628361,2022-08-23 10:47:04.471598,0 days 00:01:13.843237,,,,,,,,,,,,0.5994013253588047,1.1076183725592914,0.0036523180059524485,2.7057809964398105e-06,42.90532762597455,fnn,False,,,,,,,,,,,,,,,,,,,Tanh,HuberLoss,,,,,,,5,Rprop,1024.0,512.0,64.0,256.0,512.0,,False,,PRUNED
14,14,,2022-08-23 10:47:04.472214,2022-08-23 10:47:22.641352,0 days 00:00:18.169138,,,,,,,,,,,,0.5059634400732267,1.1795183732446568,0.04686801123066205,5.13503160828664e-05,30.93787402257525,fnn,False,,,,,,,,,,,,,,,,,,,SELU,GaussianNLLLoss,,,,,,,4,Rprop,512.0,1024.0,512.0,512.0,,,False,,PRUNED
15,15,,2022-08-23 10:47:22.641768,2022-08-23 10:48:16.865476,0 days 00:00:54.223708,,,,0.0014918412177130982,0.006330965069047745,0.0009585407827237939,,,,,,,,,,,fnn,True,,,,,,,5.6468266944128405e-05,4.0262659883719744e-05,,,,,,,,,,,SiLU,HuberLoss,0.13052070630833892,0.19120946040704853,,,,,2,Adagrad,512.0,128.0,,,,,False,True,PRUNED
16,16,,2022-08-23 10:48:16.866034,2022-08-23 10:49:10.312345,0 days 00:00:53.446311,1.0707810969113346e-07,0.9799075855602785,0.9837378171048089,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,MSELoss,,,,,,,3,Adadelta,1024.0,64.0,32.0,,,,False,,PRUNED
17,17,,2022-08-23 10:49:10.312757,2022-08-23 10:50:17.116430,0 days 00:01:06.803673,,,,,,,0.9495177183518995,0.9524712958090779,2.697405222982111e-08,0.02803763945105614,0.0009990288302252285,,,,,,fnn,True,0.04,0.02,0.02,0.08,0.02,,,,,,,,,,,,,,SiLU,HuberLoss,,,,,,,5,Adam,256.0,1024.0,16.0,1024.0,1024.0,,False,False,PRUNED
18,18,,2022-08-23 10:50:17.116873,2022-08-23 10:51:28.316686,0 days 00:01:11.199813,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,1024.0,,,,,,,MSELoss,,,,,,,1,Adagrad,,,,,,,True,,PRUNED
19,19,,2022-08-23 10:51:28.317191,2022-08-23 10:53:54.890112,0 days 00:02:26.572921,,,,,,,,,,,,0.40658345831496656,1.2981963495239306,0.09769073426699061,4.4638556156771334e-05,16.550379351592742,fnn,True,,,,,,,1.5028203683336032e-05,9.965615744575603e-05,9.836792966766374e-05,9.89093589321158e-05,1.5791697076632472e-05,5.0258431177522525e-05,,,,,,,GELU,GaussianNLLLoss,0.10871440971875056,0.15084891541025244,0.1087592192771566,0.053097914964776116,0.08937125945281621,0.12220845212593065,6,Rprop,16.0,32.0,256.0,16.0,64.0,16.0,False,True,PRUNED
20,20,,2022-08-23 10:53:54.890699,2022-08-23 10:55:02.013533,0 days 00:01:07.122834,,,,0.006059033650537428,0.001939917622147666,0.0009730855851283403,,,,,,,,,,,fnn,True,,,,,,,7.586400377469909e-05,1.9399552046397353e-05,1.8843727021793512e-06,2.050623100657716e-06,,,,,,,,,ELU,HuberLoss,0.1554050536709618,0.06341171864570895,0.14971426211757238,0.09747421968789041,,,4,Adagrad,64.0,128.0,64.0,256.0,,,False,True,PRUNED
21,21,,2022-08-23 10:55:02.013928,2022-08-23 10:56:13.186689,0 days 00:01:11.172761,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,1024.0,,,,,,,MSELoss,,,,,,,1,Adagrad,,,,,,,True,,PRUNED
22,22,,2022-08-23 10:56:13.187302,2022-08-23 10:57:40.852918,0 days 00:01:27.665616,,,,,,,,,,,,0.4120716005562105,1.2993964152102269,0.09985656685669558,4.386302020192578e-05,10.856003430990594,fnn,True,,,,,,,1.3222697736144211e-05,9.858496713244763e-05,9.580610450583286e-05,9.75087880027309e-05,1.2683436234640083e-05,5.1576736689764776e-05,,,,,,,GELU,GaussianNLLLoss,0.0965809878914369,0.15657564579332034,0.0987724890095688,0.05592658170673656,0.08243094238005322,0.12203790054974543,6,Rprop,16.0,32.0,256.0,16.0,64.0,16.0,False,True,PRUNED
23,23,,2022-08-23 10:57:40.853592,2022-08-23 10:58:47.918612,0 days 00:01:07.065020,,,,0.004120462893568877,0.0029686761790741548,0.0009432069918909791,,,,,,,,,,,fnn,True,,,,,,,7.708213366012196e-05,2.149863265563279e-05,1.4883977067957633e-06,1.7537322937946084e-06,,,,,,,,,ELU,HuberLoss,0.15482969520023698,0.07476444827531656,0.15835586483392622,0.11711445294770349,,,4,Adagrad,64.0,128.0,64.0,256.0,,,False,True,PRUNED
24,24,,2022-08-23 10:58:47.919163,2022-08-23 10:59:46.465377,0 days 00:00:58.546214,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,32.0,,,,,,,MSELoss,,,,,,,1,Adagrad,,,,,,,True,,PRUNED
25,25,,2022-08-23 10:59:46.465951,2022-08-23 11:01:43.771734,0 days 00:01:57.305783,,,,,,,,,,,,0.5134401873028829,1.2119464479293622,0.06772227252409138,4.015971306508796e-05,1.39088867418754,fnn,True,,,,,,,3.4488257506085234e-05,7.362122609806313e-05,6.877381140411688e-05,9.395453542798231e-05,8.813858557435507e-05,8.95051334017682e-05,,,,,,,GELU,GaussianNLLLoss,0.08691650133783782,0.16369365652974494,0.09962696474344471,0.05440621572104159,0.05218696874593283,0.07202435207005875,6,Rprop,16.0,32.0,256.0,16.0,128.0,512.0,False,True,PRUNED
26,26,,2022-08-23 11:01:43.772445,2022-08-23 11:02:43.797124,0 days 00:01:00.024679,,,,0.031326322451826545,0.027208583051910186,0.0007978784513865049,,,,,,,,,,,fnn,True,,,,,,,7.410642151335696e-05,2.8519059725730108e-05,1.2064270066974113e-06,,,,,,,,,,ELU,HuberLoss,0.15397614834157716,0.09301046935711785,0.19286179203893636,,,,3,Adagrad,64.0,128.0,64.0,,,,False,True,PRUNED
27,27,,2022-08-23 11:02:43.797828,2022-08-23 11:04:04.953862,0 days 00:01:21.156034,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,32.0,64.0,,,,,,MSELoss,,,,,,,2,Adadelta,,,,,,,True,,PRUNED
28,28,,2022-08-23 11:04:04.954560,2022-08-23 11:05:25.263272,0 days 00:01:20.308712,,,,,,,,,,,,0.5394613019420296,1.2039310679340247,0.06574061311127422,2.210693734787002e-05,1.1266657686330923,fnn,True,0.02,0.01,0.04,0.04,0.64,,,,,,,,,,,,,,Mish,GaussianNLLLoss,,,,,,,5,Rprop,32.0,32.0,256.0,16.0,128.0,,False,False,PRUNED
29,29,,2022-08-23 11:05:25.263893,2022-08-23 11:06:32.566040,0 days 00:01:07.302147,,,,,,,0.8509504283809125,0.991312449053805,9.629965516739783e-08,0.09419418110746478,0.0003153770802574762,,,,,,fnn,True,,,,,,,7.508299692156445e-05,3.8342347279892675e-05,3.318467105179944e-05,,,,,,,,,,CELU,HuberLoss,0.14382251621084044,0.1000877093454344,0.1896760241692172,,,,3,Adam,512.0,512.0,64.0,,,,False,True,PRUNED
